Player_Name,Hard_ELO,Clay_ELO,Grass_ELO,Player_age,Games_played
Jean Christophe Faurel,1499.0043258387843,1498.5408140816305,1499.0432232344604,43.4,9
Scott Griekspoor,1499.7413023550837,1500.0,1500.0,33.6,1
Potito Starace,1475.5228378787199,1505.3968618370554,1490.8529152852977,42.6,346
Adrian Bodmer,1499.292891027141,1500.0,1500.0,28.9,2
Yosuke Watanuki,1494.792193258221,1508.5734114402446,1512.4255071705727,26.7,36
Cole Gromley,1498.8486161019073,1500.0,1500.0,24.5,1
Carlos Gomez Herrera,1500.0,1499.3188821358503,1500.0,34.0,1
Peter Polansky,1482.104749314846,1492.9781492360964,1497.1545589703705,36.6,61
Dmitry Tursunov,1503.2065428342719,1489.430035894211,1500.8752532805129,41.6,436
Xin Yuan Yu,1498.2153940050432,1500.1999998985184,1500.0,39.4,12
Suwandi Suwandi,1500.6684312455852,1500.0,1500.0,47.4,21
Kristian Pless,1490.2206123310013,1494.6781460088084,1494.232430324298,47.9,122
Jie Cui,1477.992742112973,1500.0,1500.0,26.6,1
Patrick Kypson,1497.9177515952545,1453.4585295701006,1500.0,24.2,9
Hernando Jose Escurra Isnardi,1499.7166666666667,1505.0,1500.0,26.7,2
Armin Sandbichler,1500.0,1499.4503448482105,1500.0,39.5,1
